id,obj_ID,alpha,delta,u,g,r,i,z,run_ID,cam_col,field_ID,spec_obj_ID,redshift,plate,MJD,fiber_ID,label
0,1.24E+18,223.8182722,19.91854945,20.01995,18.61652,17.81234,17.3683,17.0567,4678,3,148,3.14E+18,0.1780035,2791,54556,427,0
1,1.24E+18,207.8663522,21.65187304,17.87874,16.72789,16.71315,16.75816,16.8237,5183,5,490,3.12E+18,-4.08E-05,2769,54527,491,2
2,1.24E+18,328.5857794,2.229686585,27.14565,22.6461,20.92246,19.83694,19.23603,7712,4,120,5.80E+18,0.5584579,5147,55854,667,0
3,1.24E+18,330.9008441,30.40720882,23.89204,22.71284,21.21638,20.03538,19.33082,8156,4,69,6.71E+18,-0.000103402,5961,56460,549,2
4,1.24E+18,250.7431117,23.73986111,18.41437,16.64718,15.73495,15.23219,14.81856,3926,3,178,1.59E+18,0.03047787,1414,53135,233,0
5,1.24E+18,353.0485054,16.513002,21.89879,20.66476,20.42116,20.401,19.96161,7713,2,186,6.91E+18,2.650167,6137,56270,652,1
6,1.24E+18,134.5354724,4.686725639,18.47099,17.27507,16.76696,16.43623,16.25603,3015,3,136,1.34E+18,0.05874027,1190,52670,597,0
7,1.24E+18,246.920722,43.61083811,25.79774,21.60469,20.36226,19.78633,20.29685,2328,6,28,9.18E+17,-0.00035906,815,52374,637,2
8,1.24E+18,218.4100123,14.06058696,25.11635,22.58095,20.98351,19.71578,19.24019,5326,2,122,6.15E+18,0.5794007,5466,56033,213,0
9,1.24E+18,18.76361029,-0.889568717,20.08953,18.17569,17.19814,16.76948,16.45866,4858,1,480,4.48E+17,0.1224233,398,51789,283,0
10,1.24E+18,22.03253974,18.64175273,20.21275,19.82042,19.70313,19.43126,19.41917,7913,2,97,8.59E+18,1.596371,7629,56988,89,1
11,1.24E+18,141.0407022,13.39759731,21.70143,21.69629,20.77559,19.72566,19.21582,5972,5,172,5.98E+18,0.6870092,5308,55976,739,0
12,1.24E+18,173.1202644,67.78758476,19.90266,18.47008,17.71729,17.23092,16.87895,1412,5,139,5.54E+17,0.05420341,492,51955,385,0
13,1.24E+18,191.230726,-3.112740508,19.41399,18.23463,17.74263,17.58676,17.50622,6005,4,143,3.29E+18,-0.000151151,2922,54612,135,2
14,1.24E+18,127.2833699,34.01054289,26.01257,22.89423,21.40054,20.16129,19.42696,2964,6,24,1.15E+19,-0.000160771,10233,58130,951,2
15,1.24E+18,340.6658273,20.75643329,22.53415,21.91338,20.49337,19.65236,19.10659,8108,4,121,6.89E+18,0.4543632,6120,56206,497,0
16,1.24E+18,331.1917602,12.56669752,23.30139,22.12628,20.86453,19.94006,19.27407,2566,4,121,5.70E+18,0.5996466,5064,55864,555,0
